"Time [ms]","InducedVoltage(Cos_Winding) [V]","InducedVoltage(Sin_Winding) [V]"
0,0.0016350802085915,1.11525057541888
0.0125,-0.0034476870145726,0.967875281096233
0.025,-0.00853045423773671,0.820499986773584
0.0375,-0.0109994963406937,0.548188696854941
0.05,-0.00982463887950432,0.192431232874446
0.0625,-0.00482779425884635,-0.192612433571222
0.075,0.00322247921024016,-0.548289052036888
0.0875,0.0127518172801467,-0.820446349272254
0.1,0.0216557742697496,-0.967647363854634
0.1125,0.027724274453962,-0.967494834127438
0.125,0.0291097064446251,-0.820030828938296
0.1375,0.0247466103399376,-0.547752791557032
0.15,0.0146472097030851,-0.192121136638436
0.1625,-1.41201815024488e-06,0.19267344742399
0.175,-0.0169755197588719,0.548042282415584
0.1875,-0.0333281816948846,0.819875373365998
0.2,-0.0459226874986615,0.96680848919353
0.2125,-0.051985835683163,0.966502639505048
0.225,-0.0496723101542957,0.819052664519646
0.2375,-0.0384808545035257,0.546958768642947
0.25,-0.01946283250596,0.191694443609525
0.2625,0.00483687290503883,-0.192616975455843
0.275,0.0307170920407351,-0.547447438015323
0.2875,0.0538858218769801,-0.81878947218358
0.3,0.0701620461103313,-0.965354631759221
0.3125,0.0762166250836192,-0.964896254460036
0.325,0.0702038498556272,-0.817550005676163
0.3375,0.0521897359507277,-0.545817344430063
0.35,0.0242665242084673,-0.191144251035783
0.3625,-0.00966599204640008,0.192440522271433
0.375,-0.0444401792359169,0.546504016835878
0.3875,-0.0744116886007767,0.817175712033626
0.4,-0.0943588753023491,0.96328760559561
0.4125,-0.100398681740759,0.962674501746043
0.425,-0.0906912016151995,0.815522423106394
0.4375,-0.0658667430974636,0.544331704598259
0.45,-0.0290531934186408,0.190462554366831
0.4625,0.0144910566844,-0.192128338493695
0.475,0.058138167809175,-0.545215732398917
0.4875,0.0948861764092997,-0.815042380939502
0.5,0.11849441911299,-0.960604733113703
0.5125,0.12451638668053,-0.959839508340257
0.525,0.111119660207431,-0.812975647301374
0.5375,0.0795001903293259,-0.542501227911369
0.55,0.0338225796306075,-0.189676826204815
0.5625,-0.0193069230658239,0.191708497334618
0.575,-0.0717969567025645,0.543576358204633
0.5875,-0.115302571822502,0.812393544623716
0.6,-0.142552365400081,0.957314810724161
0.6125,-0.148552774963057,0.956396547903055
0.625,-0.131479113367515,0.809923792950441
