"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,553.130065300257,-962.441656752835
0.0125,484.241539558858,-832.831584417809
0.025,415.353013817458,-703.221512082783
0.0375,282.084113043665,-467.1903584763
0.05,104.17286714802,-161.022715881422
0.0625,-91.6019797475017,168.487561308557
0.075,-275.413752926239,471.155276009612
0.0875,-418.974171788075,701.070070133237
0.1,-499.861629698414,823.553264374138
0.1125,-505.029498461967,820.39495170244
0.125,-432.902645726401,692.554084133609
0.1375,-293.745521618418,459.956794994888
0.15,-108.186581015829,158.351664691566
0.1625,95.8056251176899,-166.132601355594
0.175,287.174637653247,-464.082354985894
0.1875,436.470507525512,-690.315543042127
0.2,520.413477118778,-810.72699710741
0.2125,525.500523036698,-807.439525187628
0.225,450.184343460549,-681.455047137794
0.2375,305.218799561427,-452.423542610175
0.25,112.135282467578,-155.581999161274
0.2625,-99.955271245984,163.671263569338
0.275,-298.753548747314,456.717370399228
0.2875,-453.694083936111,679.126107577375
0.3,-540.636045237114,797.385373489096
0.3125,-545.640146484591,793.970966885166
0.325,-467.1784017915,669.920015537301
0.3375,-316.497933022854,444.604090782024
0.35,-116.012489059229,152.711825593372
0.3625,104.040352734407,-161.110803933716
0.375,310.14252225963,-449.059806021784
0.3875,470.628563360207,-667.499056870719
0.4,560.517532643421,-783.537232908428
0.4125,565.431845094607,-779.99685682114
0.425,483.874464406018,-657.956833401273
0.4375,327.577499865346,-436.502162057147
0.45,119.811095044381,-149.739189614698
0.4625,-108.055780682261,158.435785817643
0.475,-321.338461707181,441.118070554095
0.4875,-487.260809866573,655.451568889515
0.5,-580.039852839992,769.189617534626
0.5125,-584.863068003286,765.527366177347
0.525,-500.261241935008,645.575676579053
0.5375,-338.447968780441,428.127076298956
0.55,-123.540842468717,146.683755368292
0.5625,112.007691118894,-155.671915280217
0.575,332.326588946036,-432.894987766576
0.5875,503.585858557753,-642.98810684808
0.6,599.192983251779,-754.358865429932
0.6125,603.92156801322,-750.575784157547
0.625,516.335856708739,-632.793704253999
0.6375,349.10133340348,-419.479049056216
0.65,127.18920609098,-143.533631238724
0.6625,-115.886835601498,152.805457012044
0.675,-343.102755689303,424.400364510842
0.6875,-519.590320498203,630.122603136382
0.7,-617.968053157485,739.053744912733
0.7125,-622.602361052408,735.155394206696
0.725,-532.080583598889,619.612718795956
0.7375,-359.539703725254,410.571355826763
0.75,-130.758103366964,140.289971356935
0.7625,119.688934281528,-149.842510932998
0.775,353.667990119455,-415.644535320874
0.7875,535.267211185932,-616.856996994351
0.8,636.356616886829,-723.285397803445
0.812500000000001,640.891792648972,-719.270855746679
0.825000000000001,547.493932944193,-606.040808886807
0.837500000000001,369.751692199638,-401.402961971426
0.850000000000001,134.242920876759,-136.955910372323
0.862500000000001,-123.417485202041,146.784055731866
0.875000000000001,-364.004359567365,406.618777144952
