"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,-556.34195119927,967.630428298861
0.0125,-487.039395723758,837.329722050152
0.025,-417.736840248246,707.029015801443
0.0375,-283.687412066594,469.727593438521
0.05,-104.748600576816,161.908004061554
0.0625,92.1473677285792,-169.389349845754
0.075,277.001185512835,-473.702052490714
0.0875,421.366542221362,-704.872393628461
0.1,502.697153747268,-828.030540357495
0.1125,507.877348702979,-824.865006820684
0.125,435.327847397731,-696.335711403091
0.1375,295.377069192039,-462.478351549835
0.15,108.770811099659,-159.228859732443
0.1625,-96.3609093215749,167.028143369292
0.175,-288.79057086388,466.613563167869
0.1875,-438.904116108924,694.092407872979
0.2,-523.297480694234,815.173816067467
0.2125,-528.396406089731,811.878189500283
0.225,-452.649880983942,685.210100703763
0.2375,-306.876504583818,454.925511028526
0.25,-112.728695808541,156.452245900204
0.2625,100.521110163533,-164.562109533063
0.275,300.395982938943,-459.229469457111
0.2875,456.167972584982,-682.876014381025
0.3,543.566422423347,-801.798454703331
0.3125,548.581630484614,-798.375082616986
0.325,469.682681673762,-673.645995953641
0.3375,318.180266012999,-447.084558691005
0.35,116.614460100835,-153.574688193015
0.3625,-104.615840330622,161.995363492479
0.375,-311.811036307648,451.552872327014
0.3875,-473.140322979562,671.218538346751
0.4,-563.491839298375,787.913552229587
0.4125,-568.416859963246,784.363614572818
0.425,-486.414697346225,661.649496538431
0.4375,-329.284165544608,438.961635980473
0.45,-120.419710840384,150.59177608281
0.4625,108.639169288179,-159.31315397925
0.475,323.031856350719,-443.59028466664
0.4875,489.808283708211,-659.136938673753
0.5,583.056125036773,-773.5261467617
0.5125,587.889603417242,-769.853430890229
0.525,502.835978006447,-649.232998754715
0.5375,340.177890379252,-430.561924354765
0.55,124.15793226414,-147.527469640575
0.5625,-112.600678413763,156.542349666758
0.575,-334.043119328969,435.343328376465
0.5875,-506.168052690733,646.638134999485
0.6,-602.249554323272,758.652011505351
0.6125,-606.987803020615,754.857603270729
0.625,-518.944836212096,636.413780361389
0.6375,-350.852508732524,421.887036994921
0.65,-127.814076771609,144.368716059211
0.6625,116.488414289319,-153.668349173303
0.675,344.841647877519,-426.823235579591
0.6875,522.205799797767,-633.734356784714
0.7,621.063363505767,-743.301196022325
0.7125,625.70714465844,-739.390932643947
0.725,534.721366608,-623.192546976919
0.7375,361.312374252147,-412.95299378502
0.75,131.389392136171,-141.114176941945
