"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,558.663361712915,964.253871758871
0.0125,480.626082199104,839.262537048654
0.025,402.588802685293,714.271202338437
0.0375,264.38863677026,479.863329780322
0.05,87.6464723829996,171.424853318738
0.0625,-100.419472979446,-164.263246872263
0.075,-271.169784441576,-476.065480787999
0.0875,-398.90836684474,-716.333494856656
0.1,-464.752370314816,-848.15970096828
0.1125,-459.423665766053,-851.058810989964
0.125,-384.542886248781,-724.1451414062
0.1375,-252.271557445371,-486.352175236204
0.15,-83.3179612700065,-173.566553314924
0.1625,96.2704705813877,166.728786549962
0.175,259.142538125011,482.721039313583
0.1875,380.813573212368,726.117557107409
0.2,443.329489353385,859.555298976725
0.2125,437.928938306688,862.319306309486
0.225,366.256298629864,733.569924228621
0.2375,239.98804119347,492.526186657886
0.25,78.9367356909098,175.602688299094
0.2625,-92.0568506003877,-169.094586351081
0.275,-246.951978468063,-489.071323757872
0.2875,-362.477607930244,-735.446534757095
0.3,-421.623577313091,-870.405661655993
0.3125,-416.154146856242,-873.03360108228
0.325,-347.734947284117,-742.525408497101
0.3375,-227.552736488683,-498.387172708957
0.35,-74.5039901894001,-177.525809713841
0.3625,87.7889401458064,171.354310664794
0.375,234.602957350328,495.109977786779
0.3875,343.905912038719,744.303463635492
0.4,399.648011774464,880.704240941867
0.4125,394.114149362765,883.190887346575
0.425,328.990109190088,751.005649473125
0.4375,214.972390216728,503.933123569571
0.45,70.0212190053419,179.328530892972
0.4625,-83.4567641916191,-173.495241389435
0.475,-222.103297834691,-500.837313010235
0.4875,-325.119661681249,-752.686000067133
0.5,-377.418144506526,-890.439637864183
0.5125,-371.823959938275,-892.785908795249
0.525,-310.03722236178,-759.007425561675
0.5375,-202.25859899278,-509.160179061279
0.55,-65.5008269556884,-181.030861804105
0.5625,79.0786208924886,175.536853393546
0.575,209.46290825348,506.242451801896
0.5875,306.126098118276,760.593117245685
0.6,354.952981423639,899.611953830075
0.6125,349.301219961881,901.815318194075
0.625,290.891804724442,766.537755671902
0.6375,189.416416748876,514.061503313335
0.65,60.9394857993724,182.615169735781
0.6625,-74.6480670252436,-177.463389499467
0.675,-196.692474449938,-511.327511230179
0.6875,-286.943283882645,-768.020402717744
0.7,-332.265102262807,-908.218444539746
0.7125,-326.560072833531,-910.282311484156
0.725,-271.565029928643,-773.581453597503
0.7375,-176.45669084255,-518.646899747907
0.75,-56.336214941703,-184.083200703825
0.7625,70.1718180354813,179.274541433064
0.775,183.801038300529,516.099233252132
0.7875,267.577058467193,774.962687047644
0.8,309.368094128592,916.257404871725
0.812500000000001,303.611693402002,918.176810522832
0.825000000000001,252.064384539965,780.141285238933
0.837500000000001,163.383663529634,522.904576581302
0.850000000000001,51.6969438796118,185.433029423296
0.862500000000001,-65.6499464596679,-180.974324871679
0.875000000000001,-170.789684700632,-520.536425818797
0.887500000000001,-248.044017738926,-781.426392000506
0.900000000000001,-286.273036783997,-923.718560164307
0.912500000000001,-280.470577760548,-925.492590651482
0.925000000000001,-232.402383419707,-786.208055574712
0.937500000000001,-150.205926725444,-526.825086500891
0.950000000000001,-47.0243933956337,-186.676632342008
0.962500000000001,61.0883687377379,182.567731337121
0.975000000000001,157.668888964964,524.650281084416
0.987500000000001,228.350737956814,787.391524107722
1,262.995285975487,930.592829629133
1.0125,257.148479210664,932.218801206332
1.025,212.591002048279,791.774324852893
1.0375,136.933202944392,530.419481879061
1.05,42.3237607296144,187.785550894116
1.0625,-56.4865162375951,-184.039429526894
1.075,-144.448885636447,-528.431490559372
1.0875,-208.511779463816,-792.852657534224
1.1,-239.549263873519,-936.874582314329
1.1125,-233.6639229166,-938.351974110743
1.125,-192.647070617764,-796.835022282334
1.1375,-123.571810510377,-533.670773972803
1.15,-37.5958714453928,-188.782108961438
1.1625,51.8482479011447,185.393395746205
1.175,131.136784389052,531.875371742543
1.1875,188.540058282925,797.80987336195
1.2,215.953585194943,942.561239578209
1.2125,210.032955283365,943.890435053991
1.225,172.582474470086,801.394320343041
1.2375,110.137205497088,536.586915680386
1.25,32.8453702833159,189.659551593678
1.2625,-47.1771785842491,-186.634337084438
1.275,-117.743841419847,-534.975069849345
1.2875,-168.452954421526,-802.267532809983
1.3,-192.22403132974,-947.654284043022
1.3125,-186.273066678313,-948.834875819551
1.325,-152.411564662016,-805.448855722629
1.3375,-96.6320797112649,-539.167677618006
1.35,-28.0735411848791,-190.420295930771
