"Time [ms]","InducedVoltage(Cos_Winding) [mV]","InducedVoltage(Sin_Winding) [mV]"
0,559.202516528042,966.071937764407
0.0125,481.09099579373,840.842609817219
0.025,402.979475059418,715.613281870031
0.0375,264.645964892492,480.761710490217
0.05,87.7334914879578,171.743053134774
0.0625,-100.515875072273,-164.57603007008
0.075,-271.432495531234,-476.961071174479
0.0875,-399.296164613905,-717.67687565109
0.1,-465.205392560233,-849.746679416954
0.1125,-459.872681642843,-852.647995093431
0.125,-384.919366146589,-725.493748674397
0.1375,-252.52021124729,-487.255710004208
0.15,-83.4010515394993,-173.885236412433
0.1625,96.3633232691521,167.042683187836
0.175,259.396287083827,483.622017262469
0.1875,381.187543524821,727.467702297911
0.2,443.766157243368,861.150288438039
0.2125,438.36139367964,863.916183945645
0.225,366.618965429883,734.925078237207
0.2375,240.226717805243,493.433407363161
0.25,79.0163884899415,175.922986035581
0.2625,-92.1467785999066,-169.410799424995
0.275,-247.195878192481,-489.97574089805
0.2875,-362.837557776021,-736.80339296334
0.3,-422.043251329049,-872.007723323176
0.3125,-416.569498368836,-874.637245051131
0.325,-348.08334609132,-743.886920262147
0.3375,-227.781316017451,-499.297649204142
0.35,-74.5803877947141,-177.847828216632
0.3625,87.8753522303986,171.671821454636
0.375,234.837342709243,496.018622366819
0.3875,344.251423564667,745.666188140162
0.4,400.050430259785,882.313011800416
0.4125,394.512153987202,884.8013066429
0.425,329.323410191161,752.372270106537
0.4375,215.191628135129,504.848131099417
0.45,70.093382704307,179.650412221238
0.4625,-83.540017280359,-173.813555294811
0.475,-222.328066807643,-501.750253483785
0.4875,-325.449701637989,-754.053575885566
0.5,-377.802789731667,-892.054736456901
0.5125,-372.203947400452,-894.402372941665
0.525,-310.355036442504,-760.378761690193
0.5375,-202.466940104795,-510.078114470503
0.55,-65.5690264772476,-181.354044010481
0.5625,79.158485823011,175.85724322588
0.575,209.677127307985,507.158356457581
0.5875,306.440625180579,761.96563174858
0.6,355.318712554216,901.232062731918
0.6125,349.662174173018,903.43646786198
0.625,291.193497366787,767.913520347635
0.6375,189.613494928031,514.981039941011
0.65,61.004300293936,182.93970094985
0.6625,-74.7245582324132,-177.785532655074
0.675,-196.895805271775,-512.245874272178
0.6875,-287.241507589888,-769.39663891853
0.7,-332.611596055279,-909.842684326802
0.7125,-326.901747695143,-911.907353418639
0.725,-271.850039331597,-774.95978876133
0.7375,-176.642864983376,-519.568585053137
0.75,-56.3967495742587,-184.407344298276
0.7625,70.2440938622898,179.596783998126
0.775,183.994038272265,517.020787412602
0.7875,267.858327492105,776.340925106819
0.8,309.694942344126,917.884576085273
0.812500000000001,303.933644229181,919.804517859521
0.825000000000001,252.332551202146,781.521401205984
0.837500000000001,163.558529760746,523.827509751591
0.850000000000001,51.753092415627,185.757246027855
0.862500000000001,-65.7183583813661,-181.297398356676
0.875000000000001,-170.971001018923,-521.458820232809
0.887500000000001,-248.308718268905,-782.806995389025
0.900000000000001,-286.579740271804,-925.347461957037
0.912500000000001,-280.772205471807,-927.121781880979
0.925000000000001,-232.653530508115,-787.589918419365
0.937500000000001,-150.36888725836,-527.747916811982
0.950000000000001,-47.0769746846147,-187.001598476582
0.962500000000001,61.1532619358564,182.892200770566
0.975000000000001,157.838446744586,525.572787714659
0.987500000000001,228.598346010815,788.773474409836
1,263.281543565014,932.222753783972
1.0125,257.42979077042,933.849168550787
1.025,212.824824284925,793.156765508307
1.0375,137.084550108018,531.3428555734
1.05,42.3717535586182,188.109976162997
1.0625,-56.5470960307338,-184.363428954053
1.075,-144.607160151854,-529.355196168894
1.0875,-208.741597169318,-794.234739030274
1.1,-239.815065648444,-938.505402748038
1.1125,-233.924412346811,-939.982835994352
1.125,-192.862872786618,-798.217327141259
1.1375,-123.711687700355,-534.594801978295
1.15,-37.6393764213614,-189.106144878564
1.1625,51.9048105564315,185.717615062626
1.175,131.283175172105,532.799376137866
1.1875,188.752304368745,799.192210057806
1.2,216.19805943768,944.191909839852
1.2125,210.271864333888,945.520870627693
1.225,172.780047912242,802.776473910961
1.2375,110.264280585592,537.509972601116
1.25,32.8848947194596,189.983963793211
1.2625,-47.2299705006942,-186.959918511784
1.275,-117.877927849601,-535.897820684214
1.2875,-168.646761645079,-803.64969339239
1.3,-192.446427779178,-949.283849461225
1.3125,-186.489959708208,-950.464055776955
1.325,-152.590448403634,-806.829781857575
1.3375,-96.7469684219388,-540.09001806955
1.35,-28.1080704938,-190.743996108672
1.3625,42.5243324865498,188.072148060394
1.375,104.398005187336,538.672507863324
1.3875,148.436864478339,807.600068086677
1.4,168.576245096466,953.783128919177
1.4125,162.591019223773,954.814680122112
1.425,132.302626075195,810.373099726282
1.4375,83.1705070267662,542.335586546045
1.45,23.3148501442581,191.383380451998
1.4625,-37.7958726990748,-189.076398637575
1.475,-90.8538543832255,-541.103233464146
1.4875,-128.131827768412,-811.043798720518
1.5,-144.597447785236,-957.683317151114
1.5125,-138.587791164541,-958.563095822215
1.525,-111.932150765968,-813.418642817369
1.5375,-69.5371381657364,-544.22897061628
1.55,-18.5060690198439,-191.90270256721
1.5625,33.0409493209384,189.959271209121
1.575,77.2512076676194,543.199683719105
1.5875,107.744802387396,813.978471677359
1.6,120.526189909735,960.975986344705
1.6125,114.494962245174,961.705689154302
1.625,91.4899399772365,815.942634601993
1.6375,55.8611665639237,545.780451541357
1.65,13.6850247928327,192.296398451455
1.6625,-28.2658421852177,-190.721901257481
1.675,-63.6001733851725,-544.948760983343
1.6875,-87.2881464039528,-816.393636411079
1.7,-96.3769317176555,-963.660876230911
1.7125,-90.3304168305097,-964.237067786249
1.725,-70.9894762060291,-817.944964222354
1.7375,-42.1494855446561,-546.989578804634
1.75,-8.8548720043996,-192.561332894309
1.7625,23.4697769244468,191.360138511661
1.775,49.9065030346206,546.34808383358
1.7875,66.7789832942789,818.294186192094
1.8,72.168987443874,965.730536303028
1.8125,66.1102069917695,966.156705747872
1.825,50.4465018754353,819.430683322231
1.8375,28.4141153041742,547.84789355662
1.85,4.02107401707659,192.722548444539
1.8625,-18.6617364511466,-191.887005948875
1.875,-36.1829743173795,-547.402149804037
1.8875,-46.2283965666832,-819.673053699234
1.9,-47.9187909074484,-967.19562275554
1.9125,-41.8524289534769,-967.465819157482
1.925,-29.8726448642656,-820.404828492823
1.9375,-14.6618996807748,-548.361498465656
1.95,0.812349968646221,-192.757369752828
1.9625,13.8412101087594,192.285779176018
1.97499999999999,22.4394436066762,548.114376406526
1.98749999999999,25.6522986824907,820.536656162555
1.99999999999999,23.6416711835638,968.05270526002
2.01249999999999,17.5693782167798,968.17042884401
2.02499999999999,9.2846232945471,820.864847317324
2.03749999999999,0.901549306508713,548.537473371491
2.04999999999999,-5.64771847841187,192.666438614149
2.06249999999999,-9.01499270619914,-192.559157049854
2.07499999999999,-8.68394758501377,-548.487871676111
2.08749999999999,-5.05928064158645,-820.889060809106
2.09999999999999,0.650388599354165,-968.303099748722
2.11249999999999,6.72413258312497,-968.267194036765
2.12499999999999,11.3119202817306,-820.807068469187
2.13749999999999,12.8605689654725,-548.371783651445
2.14999999999999,10.4800203670387,-192.455940453675
2.16249999999999,4.18087819898258,192.72005869789
2.17499999999999,-5.07835662216284,548.506979276763
2.18749999999999,-15.5359407175392,820.730217748392
2.19999999999999,-24.9432230613924,967.944732024485
2.21249999999999,-31.0144506832391,967.759810324287
2.22499999999999,-31.9003741216371,820.219601809782
2.23749999999999,-26.6136589098189,547.859620620754
2.24999999999999,-15.307982810991,192.127311200489
2.26249999999999,0.655504886878253,-192.761505971303
2.27499999999999,18.8391166256281,-548.183267662819
2.28749999999999,36.1222596043628,-820.048407065521
2.29999999999999,49.2195854697945,-966.973164391072
2.31249999999999,55.2845993032682,-966.634887192579
2.32499999999999,52.4699388070146,-819.129931957498
2.33749999999999,40.3494029263749,-546.978716159717
2.34999999999999,20.1211829754075,-191.678967840247
2.36249999999999,-5.49167507170397,192.675837962281
2.37499999999999,-32.5866896167513,547.516501292204
2.38749999999999,-56.6833536516317,818.842467453465
2.39999999999999,-73.4634057328339,965.387697580029
2.41249999999999,-79.5169714970593,964.894046741273
2.42499999999999,-73.0017890998584,817.517195618476
2.43749999999999,-54.0578984590759,545.758806889121
2.44999999999999,-24.9230774466563,191.101208199015
2.46249999999999,10.3234379359375,-192.460480747411
2.47499999999999,46.312166395349,-546.499593064676
2.48749999999999,77.2073927539869,-817.121374534829
2.49999999999999,97.6567395364917,-963.189810233929
2.51249999999999,103.695908016574,-962.544833233711
2.52499999999999,93.4851993512417,-815.386678531106
2.53749999999999,67.7317246337976,-544.213456410776
2.54999999999999,29.703173872521,-190.380616047622
2.56249999999999,-15.1472709763979,192.117154037604
2.57499999999999,-60.0036139522971,545.134922398206
2.58749999999999,-97.6796370871406,814.887093910891
2.59999999999999,-121.785483978191,960.386415007914
2.61249999999999,-127.805527217059,959.592784452827
2.62499999999999,-113.906300556445,812.743103362953
2.63749999999999,-81.3610005210268,542.321286553388
2.64999999999999,-34.4729420688291,189.58192081545
2.66249999999999,19.9658756997039,-191.689942113484
2.67499999999999,73.6575551765005,-543.423616413832
2.68749999999999,118.086960029073,-812.140482394111
2.69999999999999,145.835379633554,-956.985055385474
2.71249999999999,151.834402779424,-956.041654272961
2.72499999999999,134.257773801578,-809.592018127681
2.73749999999999,94.9369384303199,-540.083949418072
2.74999999999999,39.2175834922978,-188.654547531168
2.76249999999999,-24.7668372331833,191.125509447228
2.77499999999999,-87.2650007854477,541.382772208478
2.78749999999999,-138.420273597886,808.881582925609
2.79999999999999,-169.794587061607,952.982305889939
2.81249999999999,-175.768121906249,951.887693315709
